DAUID,year,instability,deprivation,dependency,ethnic_concentration,omi_composite,patient_volume,source
35010155,2016,-0.4771892302,0.05300009721,0.2278393271,-1.263003133,-0.3648382347225,0.0,synthetic
35010156,2016,-0.2594852309,-0.05298230493,0.7031841782,-1.128303939,-0.1843968241575,0.0,synthetic
35010157,2016,-0.7818585609,-0.02753210017,-0.07708540825,-1.090066068,-0.49413553433,0.0,synthetic
35010158,2016,-0.4229026118,0.6202563834,0.1689251636,-0.8680303493,-0.125437853525,0.0,synthetic
35010159,2016,-0.5760179515,-0.03693195377,0.519181215,-0.815481743,-0.2273126083175,0.0,synthetic
35010160,2016,-0.4971030775,-0.2297805224,-0.03376810771,-0.8604918071,-0.4052858786775,0.0,synthetic
35010161,2016,-0.6453809737,0.002529281656,0.1611221588,-0.8900823417,-0.342952968736,0.0,synthetic
35010162,2016,0.01434735863,0.2612123452,1.854599258,-1.070345636,0.26495333145749994,0.0,synthetic
35010163,2016,-0.4104523231,-0.1837583107,0.3766547139,-1.188088096,-0.351411003975,0.0,synthetic
35010164,2016,-0.7009669985,-0.1992574321,0.6742788375,-1.209023404,-0.35874224927500004,0.0,synthetic
35010165,2016,-0.544103595,-0.1901061998,0.3899482624,-0.8050056887,-0.28731680527500003,0.0,synthetic
35010166,2016,-0.8666083954,-0.1249766219,0.2083024159,-0.9296191609,-0.428225440575,1.0,synthetic
35010167,2016,-0.6884408839,-0.3065531394,0.4603983021,-0.925967977,-0.36514092455,0.0,synthetic
35010168,2016,-0.8313241153,-0.6347991561,-0.3043662144,-0.4786063058,-0.5622739479000001,0.0,synthetic
35010169,2016,-0.7418012053,-0.3552443211,-0.2508997469,-0.68410171,-0.508011745825,0.0,synthetic
35010170,2016,-0.6808191715,-0.5113346687,-0.1010504742,-0.6434811131,-0.484171356875,0.0,synthetic
35010171,2016,-0.725896249,-0.1370536615,0.3716035424,-0.8456225832,-0.334242237825,0.0,synthetic
35010172,2016,-0.5702899887,-0.4589888392,-0.3291247031,-0.7481257618,-0.5266323232,0.0,synthetic
35010173,2016,-0.4802601911,-1.000754243,0.6542391433,-1.087049561,-0.47845621294999996,0.0,synthetic
35010174,2016,,,,,,0.0,synthetic
35010175,2016,,,,,,0.0,synthetic
35010176,2016,,,,,,0.0,synthetic
35010177,2016,,,,,,0.0,synthetic
35010178,2016,,,,,,0.0,synthetic
35010179,2016,-0.6065641173,-1.200682764,0.2529875221,-0.6984942224,-0.5631883954,0.0,synthetic
35010180,2016,0.2345764924,-0.01752491394,1.275767771,-0.2394661662,0.313338295815,0.0,synthetic
35010181,2016,-0.5509981631,0.1511016602,0.3102880283,-0.4417456444,-0.13283852975000002,0.0,synthetic
35010182,2016,-0.6624114336,-0.2712358312,1.578531144,-0.9399151893,-0.07375782752499999,0.0,synthetic
35010183,2016,-0.3216935034,2.450469891,-0.4275290175,1.670910914,0.843039571025,0.0,synthetic
35010184,2016,-0.3491839292,-0.9437535368,1.63088536,-0.930515492,-0.1481418995,0.0,synthetic
