postal_code,DAUID
K0M2B0,35430719
K9J2T6,35061712
K9L0G4,35260001
L0E1E0,35210985
L0M1J0,35300151
L1B0K8,35390119
L1C4W9,35340142
L1E0G9,35180017
L1E1E5,35060701
L1G1N8,35061856
L1G7X9,35212032
L1H7J4,35211281
L1J0A5,35211554
L1J1C9,35320334
L1J4P8,35211480
L1J8J6,35110115
L1K0G9,35260489
L1K0N2,35202299
L1K1G2,35430855
L1K1J9,35190800
L1K2P3,35061410
L1K2T1,35490181
L1K3B6,35250611
L1K3C3,35390145
L1K3E6,35060381
L1K7X4,35190057
L1L0T9,35201170
L1N0L7,35201370
L1N8C9,35010289
L1N9R5,35202267
L1P0C1,35230146
L1P1C8,35202392
L1P1V7,35410218
L1R0R7,35202466
L1R2A8,35211104
L1R2N8,35420260
L1R2Y8,35180800
L1R2Z3,35240275
L1R3A3,35204087
L1R3N3,35180492
L1S0H5,35240466
L1S1B1,35180186
L1S1H6,35370861
L1S3G3,35320295
L1S3J2,35480089
L1S3J7,35203621
L1S3P1,35203299
L1S3R7,35010330
L1S5E4,35200396
L1S5Z1,35250922
L1S6L2,35260164
L1S6S4,35260079
L1S7C7,35370306
L1T0E1,35120237
L1T0E9,35430956
L1T0L2,35210732
L1T1W3,35320295
L1T2C5,35600346
L1T2V7,35240216
L1T3G6,35490190
L1T3H9,35211112
L1T3T5,35191270
L1T3T9,35061789
L1T4C8,35250759
L1T4G3,35240826
L1T4J6,35060704
L1T4M9,35190035
L1T4X3,35203202
L1T4X9,35201112
L1T4Z4,35241041
L1V0A5,35211052
L1V0C1,35300517
L1V0H3,35320183
L1V1S8,35580286
L1V2S1,35211881
L1V2Y8,35240616
L1V3C3,35060400
L1V3H6,35100044
L1V3K6,35190762
L1V3M4,35205013
L1V3R6,35204855
L1V3V5,35370159
L1V3W1,35061919
L1V3W3,35060595
L1V4T3,35290040
L1V4Y3,35300367
L1V5P7,35570160
L1V6A5,35280197
L1V6B3,35220139
L1V6G8,35250124
L1V6M9,35061855
L1V6S1,35360438
L1V6T3,35204274
L1V6T9,35211148
L1V7B5,35212358
L1V7C4,35400214
L1V7C9,35204427
L1V7G2,35203974
L1V7H5,35061247
L1W0C2,35250450
L1W1J3,35250878
L1W2G1,35202392
L1W3A6,35260781
L1W3H6,35060189
L1W3Z7,35301037
L1X0C8,35430687
L1X0E1,35530295
L1X0E2,35200360
L1X0E4,35140117
L1X0N9,35191290
L1X0P4,35212227
L1X1R4,35390689
L1X1Y9,35180350
L1X2H3,35061761
L1X2N9,35211006
L1X2S1,35201181
L1X2T1,35400111
L1X2V4,35260451
L1X2X7,35201081
L1Z0E3,35061575
L1Z0G9,35211544
L1Z0J7,35230392
L1Z0N5,35202483
L1Z0S6,35191128
L1Z1C1,35160173
L1Z1K4,35100041
L1Z1R4,35580383
L1Z1S1,35300247
L1Z1X7,35380285
L3P0N8,35250612
L3P1X6,35010359
L3P2P8,35430661
L3P4K5,35480205
L3P4Y8,35240541
L3P5J9,35260636
L3P6M3,35210602
L3P6X6,35212231
L3P7B6,35204780
L3P7H1,35204550
L3P7L6,35120160
L3P7T3,35200731
L3P7V8,35070274
L3P7W1,35210807
L3R0L6,35431062
L3R0R3,35180347
L3R1A1,35590082
L3R1H1,35180234
L3R1V5,35410246
L3R1X5,35250032
L3R2S7,35190285
L3R3G1,35390063
L3R3G6,35200648
L3R3H7,35100095
L3R3N4,35070155
L3R3N7,35530202
L3R3N9,35190564
L3R3P7,35212191
L3R3Y8,35210952
L3R4R8,35191288
L3R4X4,35201999
L3R5B5,35430783
L3R5C1,35430640
L3R5K9,35211577
L3R5M8,35204805
L3R5S6,35203734
L3R6V1,35070290
L3R6Y4,35240410
L3R6Z1,35211971
L3R7C6,35301005
L3R7G8,35061333
L3R7J5,35580061
L3R7V9,35203867
L3R7W2,35370638
L3R7W5,35580201
L3R7Y8,35530319
L3R8A5,35204220
L3R9J9,35180738
L3S0A2,35490154
L3S0B1,35210584
L3S0B5,35202013
L3S0C9,35250573
L3S1C4,35570297
L3S1E2,35201519
L3S1E4,35210601
