postal_code,lat,lon
N0L2L0,49.6906,-124.9932
M5H3V9,52.2724,-113.8034
M6E4E5,43.6525,-79.3839
M4N3P6,43.6525,-79.3839
M8Y2W4,43.6525,-79.3839
M8V1C2,43.6525,-79.3839
M8V3C8,43.6525,-79.3839
M8Z1J7,43.6525,-79.3839
M8Y1T8,43.6525,-79.3839
M8Y1T1,43.6525,-79.3839
M8V1E2,43.6525,-79.3839
M8W2T8,43.6525,-79.3839
M8W1J5,43.6525,-79.3839
M8W1B2,43.6525,-79.3839
M8V1A6,43.6525,-79.3839
M4P1S9,43.6525,-79.3839
M8V3C4,43.6525,-79.3839
M8V2Z3,43.6525,-79.3839
M8V2S7,43.6525,-79.3839
M8V1E5,43.6525,-79.3839
M8V3W9,43.6525,-79.3839
M8W3P7,43.6525,-79.3839
M8V3X6,43.6525,-79.3839
M8Z1V4,43.6525,-79.3839
M5J2E6,43.6525,-79.3839
M5J2C2,43.6525,-79.3839
M5J2C1,43.6525,-79.3839
M5V1A2,43.6525,-79.3839
M5J2B6,43.6525,-79.3839
M5J2C8,43.6525,-79.3839
M5J2A8,43.6525,-79.3839
M5J2H2,43.6525,-79.3839
M5J2E1,43.6525,-79.3839
M5J2B2,43.6525,-79.3839
M5J2S2,43.6525,-79.3839
M5J2E2,43.6525,-79.3839
M5J2B5,43.6525,-79.3839
M5J2E4,43.6525,-79.3839
M5J2K9,43.6525,-79.3839
M5J2E5,43.6525,-79.3839
M5V1A1,43.6525,-79.3839
M5J1A7,43.6525,-79.3839
M5J2B8,43.6525,-79.3839
M5J2E3,43.6525,-79.3839
M5G1J6,43.6525,-79.3839
M5S2G5,43.6525,-79.3839
M5S2Z3,43.6525,-79.3839
M5T1B3,43.6525,-79.3839
M5B2E8,43.6525,-79.3839
M5B2L2,43.6525,-79.3839
M5G2A1,43.6525,-79.3839
M4Y2P9,43.6525,-79.3839
M5A4L8,43.6525,-79.3839
M5S1C6,43.6525,-79.3839
M5S1S5,43.6525,-79.3839
M5B1G7,43.6525,-79.3839
M5S2E5,43.6525,-79.3839
M5G2K5,43.6525,-79.3839
M5G2M4,43.6525,-79.3839
M5J2S9,43.6525,-79.3839
M5B2A1,43.6525,-79.3839
M5S1K5,43.6525,-79.3839
M5S2E2,43.6525,-79.3839
M5G2G4,43.6525,-79.3839
M5T1J8,43.6525,-79.3839
M5B2L2,43.6525,-79.3839
M5T2G3,43.6525,-79.3839
M5T2E7,43.6525,-79.3839
M5T2E6,43.6525,-79.3839
M5T2C2,43.6525,-79.3839
M5T2B5,43.6525,-79.3839
M5T1R5,43.6525,-79.3839
M5T1N8,43.6525,-79.3839
M5G2K5,43.6525,-79.3839
M5B1G7,43.6525,-79.3839
M5T1H2,43.6525,-79.3839
M5T1B3,43.6525,-79.3839
M5B1H5,43.6525,-79.3839
M5V3K2,43.6525,-79.3839
M5V2J1,43.6525,-79.3839
M5T1K5,43.6525,-79.3839
M5A1E9,43.6525,-79.3839
M5B2A1,43.6525,-79.3839
M5T1L5,43.6525,-79.3839
M1S4M8,43.6525,-79.3839
M8Y3N5,43.6525,-79.3839
M9B5Z7,43.6525,-79.3839
M9A3A8,43.6525,-79.3839
M8X2W3,43.6525,-79.3839
M9A4Y5,43.6525,-79.3839
M1M3T6,43.6525,-79.3839
M9A1G8,43.6525,-79.3839
M9A4X9,43.6525,-79.3839
M9A3J9,43.6525,-79.3839
M9A5C6,43.6525,-79.3839
M9A4X6,43.6525,-79.3839
M9A3A9,43.6525,-79.3839
M8Y4E1,43.6525,-79.3839
M8Y1W5,43.6525,-79.3839
M9A5A9,43.6525,-79.3839
M9A3B3,43.6525,-79.3839
M9A4Y1,43.6525,-79.3839
M9B6K4,43.6525,-79.3839
M9A3V3,43.6525,-79.3839
M8X1A3,43.6525,-79.3839
M1E4P9,43.6525,-79.3839
M1B2K5,43.6525,-79.3839
M1C3A8,43.6525,-79.3839
M1E3E4,43.6525,-79.3839
M1C5A1,43.6525,-79.3839
M1E4X2,43.6525,-79.3839
M1B2K6,43.6525,-79.3839
M1B5V9,43.6525,-79.3839
M1C1A3,43.6525,-79.3839
M1E4P8,43.6525,-79.3839
M1E4S8,43.6525,-79.3839
M1E5E6,43.6525,-79.3839
M1B2W5,43.6525,-79.3839
M1E2N1,43.6525,-79.3839
M1E2S1,43.6525,-79.3839
M1E4T7,43.6525,-79.3839
M1E4C1,43.6525,-79.3839
M1E2R4,43.6525,-79.3839
