DAUID,Pop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16
35010155,457,-0.4771892302,0.05300009721,0.2278393271,-1.263003133,2,4,4,1
35010156,448,-0.2594852309,-0.05298230493,0.7031841782,-1.128303939,3,3,5,1
35010157,469,-0.7818585609,-0.02753210017,-0.07708540825,-1.090066068,1,3,3,1
35010158,492,-0.4229026118,0.6202563834,0.1689251636,-0.8680303493,3,4,4,1
35010159,517,-0.5760179515,-0.03693195377,0.519181215,-0.815481743,2,3,4,1
35010160,509,-0.4971030775,-0.2297805224,-0.03376810771,-0.8604918071,2,3,3,1
35010161,388,-0.6453809737,0.002529281656,0.1611221588,-0.8900823417,2,3,4,1
35010162,376,0.01434735863,0.2612123452,1.854599258,-1.070345636,4,4,5,1
35010163,501,-0.4104523231,-0.1837583107,0.3766547139,-1.188088096,3,3,4,1
35010164,447,-0.7009669985,-0.1992574321,0.6742788375,-1.209023404,2,3,5,1
35010165,418,-0.544103595,-0.1901061998,0.3899482624,-0.8050056887,2,3,4,1
35010166,478,-0.8666083954,-0.1249766219,0.2083024159,-0.9296191609,1,3,4,1
35010167,458,-0.6884408839,-0.3065531394,0.4603983021,-0.925967977,2,3,4,1
35010168,445,-0.8313241153,-0.6347991561,-0.3043662144,-0.4786063058,1,2,3,3
35010169,433,-0.7418012053,-0.3552443211,-0.2508997469,-0.68410171,2,3,3,2
35010170,493,-0.6808191715,-0.5113346687,-0.1010504742,-0.6434811131,2,2,3,2
35010171,467,-0.725896249,-0.1370536615,0.3716035424,-0.8456225832,2,3,4,1
35010172,1207,-0.5702899887,-0.4589888392,-0.3291247031,-0.7481257618,2,2,2,2
35010173,739,-0.4802601911,-1.000754243,0.6542391433,-1.087049561,2,1,5,1
35010174,0,,,,,,,,
35010175,0,,,,,,,,
35010176,0,,,,,,,,
35010177,0,,,,,,,,
35010178,0,,,,,,,,
35010179,505,-0.6065641173,-1.200682764,0.2529875221,-0.6984942224,2,1,4,2
35010180,999,0.2345764924,-0.01752491394,1.275767771,-0.2394661662,4,3,5,3
35010181,367,-0.5509981631,0.1511016602,0.3102880283,-0.4417456444,2,4,4,3
35010182,448,-0.6624114336,-0.2712358312,1.578531144,-0.9399151893,2,3,5,1
35010183,744,-0.3216935034,2.450469891,-0.4275290175,1.670910914,3,5,2,5
35010184,410,-0.3491839292,-0.9437535368,1.63088536,-0.930515492,3,1,5,1
35010185,843,1.127151552,0.9790554769,2.131664645,-0.3104704769,5,5,5,3
35010186,624,0.2773038601,0.3248863421,0.9993243259,-0.7066613152,4,4,5,2
35010187,529,1.156095636,1.618562433,1.312953896,-0.425676517,5,5,5,3
35010188,439,0.2930613337,1.524161096,0.688307681,-0.7641980194,4,5,5,2
35010189,376,-0.2469146861,-0.9274548641,0.227709996,-0.8709456517,3,1,4,1
35010190,411,0.3223884387,1.843648158,0.4354598848,-0.3870305939,4,5,4,3
35010191,457,1.127614909,1.389252922,0.3436733713,-0.4675832913,5,5,4,3
35010192,444,0.5295066447,0.8325419489,0.0665075602,-0.09915844586,4,5,4,3
35010193,327,1.571354757,2.884383641,0.4239683107,-0.1644999508,5,5,4,3
35010194,360,1.256134774,3.689623943,-0.1162278228,-0.4589738048,5,5,3,3
35010195,379,1.238589301,5.044350233,-0.1553720642,-0.3413830116,5,5,3,3
35010196,367,1.31770241,4.827650343,0.2197895283,0.1681342941,5,5,4,4
35010197,394,1.411378861,2.931463003,-0.4619845457,-0.3383429034,5,5,2,3
35010198,354,2.147661632,2.689436344,3.397148369,-0.7958424423,5,5,5,2
35010199,454,1.645593292,4.630209347,-0.3496150573,-0.211106656,5,5,2,3
35010200,414,1.238639071,2.741827262,0.6183164528,-0.005946903245,5,5,5,4
35010201,239,,,,,,,,
35010202,507,1.522385494,2.440459331,1.049737816,-0.5377021956,5,5,5,2
35010203,563,1.219196224,1.843371867,0.7954182505,-0.4246809843,5,5,5,3
35010204,485,1.897993806,1.579976223,3.051464762,-0.5893740655,5,5,5,2
35010205,322,1.280044383,1.722594394,0.2752392969,-0.8762655262,5,5,4,1
35010206,457,0.6186453234,0.7112960506,0.9175444599,-0.7677619048,4,5,5,2
35010207,283,-0.1412412657,0.6276879008,0.4715209217,-0.6679081861,3,4,4,2
35010208,430,0.606545413,1.42776354,0.5418362052,-0.4177934804,4,5,4,3
35010209,432,0.9448874882,1.390904909,-0.3009602592,-0.7740958758,5,5,3,2
35010210,497,2.099540839,1.915666448,1.574357099,-1.103166016,5,5,5,1
35010211,460,0.6542237152,1.547056932,-0.02268353548,-0.5968130298,4,5,3,2
35010212,431,1.309403321,1.583074264,0.2568569507,-0.7309537305,5,5,4,2
35010213,509,-0.08407868057,1.976148316,0.4216358332,-0.9828372388,3,5,4,1
35010214,352,0.2013644606,1.207866306,0.3681240784,-1.046884815,4,5,4,1
35010215,670,-0.08315789899,1.293986959,1.427455837,-0.2369534102,3,5,5,3
35010216,431,0.2001261269,-0.06374009814,1.16024458,-0.7523752821,4,3,5,2
35010217,745,0.2189239323,1.338467285,0.4926743093,-0.205898814,4,5,4,3
35010218,473,0.254425916,1.647658062,-0.04681574954,-0.3334813729,4,5,3,3
35010219,451,0.4740754623,0.5820995971,1.34141194,-0.8322252766,4,4,5,1
35010220,468,0.08116894603,0.5272883213,0.8127591337,-1.158662674,4,4,5,1
35010221,494,0.4423328395,1.28296465,0.7610923587,-0.7384520582,4,5,5,2
35010222,500,0.3694748144,1.374143896,0.5522250049,-0.6564199882,4,5,4,2
35010223,538,1.057658756,1.392680187,1.292385731,-0.722467581,5,5,5,2
35010224,560,-0.230903606,0.856721722,0.4323648338,-0.4625267522,3,5,4,3
35010225,844,1.067712051,2.846610068,0.13129605,0.2431654513,5,5,4,4
35010226,502,1.551936993,2.009937029,0.501668153,0.7954914171,5,5,4,5
35010227,322,-0.03172407458,0.1892138077,0.9084731163,-0.5283112151,4,4,5,2
35010228,617,-0.3030639572,-0.9318173889,0.8785502312,-0.4879493932,3,1,5,3
35010229,650,-0.5184481684,-0.6606596044,0.26266561,-0.6091098589,2,2,4,2
35010230,426,-0.7357268801,-1.212825684,0.6769474604,-0.4322970874,2,1,5,3
35010231,436,-0.5227030825,-0.6655526221,0.632253513,-0.639004505,2,2,5,2
35010232,434,-0.5602404389,0.2738914285,0.6058329799,-1.128427479,2,4,5,1
35010233,512,-0.3958369309,-0.3286911155,0.9003000011,-0.8245033144,3,3,5,1
35010234,498,-0.2498605608,0.4443911653,0.1150588561,-0.8454930155,3,4,4,1
35010235,495,1.610793808,-0.07227234045,2.510279186,-0.9571053564,5,3,5,1
35010237,517,1.296903508,1.560136737,2.266860927,-0.7279342751,5,5,5,2
35010238,419,1.515629917,2.154263585,0.6363792572,-0.5989210901,5,5,5,2
35010239,511,1.273198376,1.211120797,0.8397295688,-0.8055378933,5,5,5,1
35010240,447,0.8472521857,2.275188222,-0.7374824825,-0.7154581341,5,5,1,2
35010241,554,0.7269025243,2.572685096,-0.2721898049,-0.2994334173,4,5,3,3
35010242,441,0.6558756032,2.312699847,-0.06484695978,-0.7578688855,4,5,3,2
35010243,491,0.3971257623,2.054537397,0.3409789053,-0.5949006422,4,5,4,2
35010244,552,0.9917459192,2.292225897,0.1636339848,-0.3749828088,5,5,4,3
35010245,559,0.901020777,2.381374874,0.1412982718,-0.8386923885,5,5,4,1
35010246,427,1.028630493,0.3737158313,0.8834024967,-0.6388680004,5,4,5,2
35010247,628,2.630755937,1.588885438,3.817124659,-1.365087661,5,5,5,1
35010248,537,2.546595537,1.513889895,10.05126067,-1.414181562,5,5,5,1
35010249,502,0.7604913908,1.263346987,0.9614172381,-0.8958192528,5,5,5,1
35010250,362,-0.03752212852,0.2535911669,-0.008909110218,-1.114820816,4,4,3,1
35010251,350,-0.7813022252,-0.1159355285,0.2996684046,-0.6371356298,1,3,4,2
35010252,381,-0.03136107832,0.477189538,0.2541070102,-0.7680254118,4,4,4,2
35010253,731,0.002312263968,-0.1136040286,0.2959351638,-0.5261988837,4,3,4,2
35010254,381,-0.7007045967,-0.3574401268,0.6863463978,-0.6095403445,2,3,5,2
35010255,266,-0.3923408504,0.7522288494,0.3481455519,-0.4598468209,3,5,4,3
35010256,356,-0.4014417963,0.706742877,0.1017994428,-1.086389034,3,5,4,1
35010257,416,0.4341363582,-0.1374250609,0.6837840396,-0.8153073144,4,3,5,1
35010258,482,-0.2496519592,-0.1005265927,0.4427810613,-0.6271074038,3,3,4,2
35010259,268,0.1236285335,-1.736925657,0.7727360909,-0.8502421419,4,1,5,1
35010260,703,0.04170015072,1.113577078,-0.3929082233,-0.1928489814,4,5,2,3
35010261,483,-0.1444159286,1.123029064,0.6221572216,-0.9267469816,3,5,5,1
35010262,326,-0.03952301976,0.1317438602,1.290762234,-0.8888265707,4,4,5,1
35010263,315,-0.5913922011,-1.159205593,1.682952569,-0.9381778433,2,1,5,1
35010264,488,0.4222555631,0.1736742415,1.251910492,-0.5584618129,4,4,5,2
35010265,364,-0.6221520266,-0.7055077553,0.7196036596,-0.8339254684,2,2,5,1
35010266,642,0.7522831611,0.6850586595,1.46100486,-0.5405824493,5,5,5,2
35010267,406,0.03187548762,1.013101968,0.9598478446,-1.131055544,4,5,5,1
35010268,422,1.853489401,1.636469725,0.8793194333,-0.5567553142,5,5,5,2
35010269,637,0.2229820099,0.02319119948,2.040409949,-0.7870735959,4,4,5,2
35010270,397,1.573020103,3.246133487,0.01337487267,-0.6303586734,5,5,3,2
35010271,343,0.7124279436,2.756269124,-0.484981063,-0.334911513,4,5,2,3
35010272,382,1.249804257,3.348452278,-0.1658888422,-0.3440813221,5,5,3,3
35010273,687,-0.5624642522,-0.07529202767,0.3050943633,-1.069540122,2,3,4,1
35010274,517,-0.7019777198,-0.3419380419,0.7500463847,-0.8885402111,2,3,5,1
35010275,805,-0.7702658776,-0.13411467,0.2591086875,-0.7796985542,2,3,4,2
35010276,623,-0.7245742034,-0.5481557159,-0.6651504664,-0.7699903313,2,2,2,2
35010277,604,-0.720790639,-0.3089151324,-0.4793519163,-0.8574670485,2,3,2,1
35010278,424,-0.8748135773,-0.4328968501,0.1817902572,-0.7251597771,1,2,4,2
35010279,367,-0.6414970655,-0.3604429598,0.1768825764,-1.212811723,2,3,4,1
35010280,424,-1.039108531,-0.1098564085,-0.1395570194,-0.7821361686,1,3,3,2
35010281,415,-0.6423294582,0.0370667626,-0.1200331761,-1.241782868,2,4,3,1
35010282,450,-0.6150218,-0.9043913298,-0.520600733,-0.8782225319,2,1,2,1
35010283,443,-0.6343297923,-0.01110007658,-0.1828515311,-0.948375197,2,3,3,1
35010284,431,-0.7044675989,-0.4162304791,-0.3621291656,-0.9321424398,2,3,2,1
35010285,449,-0.4231221929,0.5435613933,0.5672133757,-1.194389278,3,4,4,1
35010286,486,-0.5479926413,-0.8021579188,-0.1408531456,-1.091532118,2,1,3,1
35010287,494,-0.4558000919,-0.05999681247,-0.2138402963,-0.9229308931,3,3,3,1
35010288,485,-0.227817267,-0.3440423815,-0.7680084578,-0.9335992289,3,3,1,1
35010289,556,-0.1530834716,-1.099281991,-0.724947305,-0.6972261638,3,1,2,2
35010290,473,-0.792086689,-0.5599274507,-1.217619457,-0.8856510958,1,2,1,1
35010291,453,-0.6738050843,-0.7725431571,-0.7339912552,-0.7279020282,2,2,1,2
35010292,477,-0.6182535584,-1.167896843,-0.6130682536,-0.9933453298,2,1,2,1
35010293,650,-0.4712982399,-0.1095870452,-0.582831311,-0.7948952961,3,3,2,2
35010294,713,-0.4686771627,0.03111428016,0.3098557594,-0.6490186083,3,4,4,2
35010295,473,-0.2090605059,0.3604982604,0.6190496202,-0.6307230762,3,4,5,2
35010296,542,0.3060940447,0.5415213575,0.8656354665,-0.9728193222,4,4,5,1
35010297,404,-0.1590961672,-0.4872718963,-0.6493505171,-1.283920523,3,2,2,1
35010298,467,-0.8290468306,-0.4354450817,0.2247606587,-0.9975062382,1,2,4,1
35010299,522,-0.6331250025,-0.7087591825,-0.1432893805,-1.015236829,2,2,3,1
35010300,563,-0.5856882846,-0.1188691666,-0.2527199935,-0.9503860472,2,3,3,1
